,Qry,Name,URL
0,Microsoft Corporation reviews,Microsoft Corporation Reviews | Glassdoor,"https://www.glassdoor.com/Reviews/microsoft-corporation-reviews-SRCH_KE0,21.htm"
1,Microsoft Corporation reviews,Microsoft Reviews | Glassdoor,https://www.glassdoor.com/Reviews/Microsoft-Reviews-E1651.htm
2,Microsoft Corporation reviews,Microsoft Corporation Reviews in United States | Glassdoor,"https://www.glassdoor.com/Reviews/us-microsoft-corporation-reviews-SRCH_IL.0,2_IN1_KE3,24.htm"
3,Microsoft Corporation reviews,Microsoft - Company Review | Glassdoor,https://www.glassdoor.com/Reviews/Employee-Review-Microsoft-RVW30735921.htm
4,Microsoft Corporation reviews,"Microsoft Corporation Reviews in San Diego, CA | Glassdoor","https://www.glassdoor.com/Reviews/san-diego-microsoft-corporation-reviews-SRCH_IL.0,9_IM758_KE10,31.htm"
5,Microsoft Corporation reviews,"Microsoft Corporation Reviews in Dallas-Fort Worth, TX ...","https://www.glassdoor.com/Reviews/dallas-microsoft-corporation-reviews-SRCH_IL.0,6_IM218_KE7,28.htm"
6,Microsoft Corporation reviews,"Microsoft Corporation Reviews in Milwaukee, WI | Glassdoor","https://www.glassdoor.com/Reviews/milwaukee-microsoft-corporation-reviews-SRCH_IL.0,9_IM564_KE10,31.htm"
7,Microsoft Corporation reviews,"Microsoft Corporation Reviews in Seattle, WA | Glassdoor","https://www.glassdoor.com/Reviews/seattle-microsoft-corporation-reviews-SRCH_IL.0,7_IM781_KE8,29.htm"
8,Microsoft Corporation reviews,"Microsoft Corporation Reviews in Fargo, ND | Glassdoor","https://www.glassdoor.com/Reviews/fargo-microsoft-corporation-reviews-SRCH_IL.0,5_IM289_KE6,27.htm"
9,Microsoft Corporation reviews,Companies & Reviews | Glassdoor,https://www.glassdoor.com/Reviews/index.htm
0,Shopify Inc. Class A reviews,Shopify Reviews | Glassdoor,https://www.glassdoor.com/Reviews/Shopify-Reviews-E675933.htm
1,Shopify Inc. Class A reviews,Shopify Reviews | Glassdoor,https://www.glassdoor.com/Reviews/Shopify-Reviews-E675933_P2.htm
2,Shopify Inc. Class A reviews,Shopify Reviews | Glassdoor,https://www.glassdoor.com/Reviews/Shopify-Reviews-E675933_P5.htm
3,Shopify Inc. Class A reviews,Shopify Intern Reviews | Glassdoor,"https://www.glassdoor.com/Reviews/Shopify-Intern-Reviews-EI_IE675933.0,7_KO8,14.htm"
4,Shopify Inc. Class A reviews,Shopify - Cool place to work | Glassdoor,https://www.glassdoor.com/Reviews/Employee-Review-Shopify-RVW14971978.htm
5,Shopify Inc. Class A reviews,Shopify Software Engineer Reviews | Glassdoor,"https://www.glassdoor.com/Reviews/Shopify-Software-Engineer-Reviews-EI_IE675933.0,7_KO8,25.htm"
6,Shopify Inc. Class A reviews,Shopify - Good for a resumé filler | Glassdoor,https://www.glassdoor.com/Reviews/Employee-Review-Shopify-RVW6861231.htm
7,Shopify Inc. Class A reviews,Shopify - Toxic work culture starts at the top. | Glassdoor,https://www.glassdoor.com/Reviews/Employee-Review-Shopify-RVW14268154.htm
8,Shopify Inc. Class A reviews,Shopify Careers | Glassdoor,"https://www.glassdoor.com/Overview/Working-at-Shopify-EI_IE675933.11,18.htm"
9,Shopify Inc. Class A reviews,"Shopify Reviews in Galway, Ireland | Glassdoor","https://www.glassdoor.com/Reviews/Shopify-Galway-Reviews-EI_IE675933.0,7_IL.8,14_IM1050.htm"
0,Tesla Inc reviews,Tesla Reviews | Glassdoor,https://www.glassdoor.com/Reviews/Tesla-Reviews-E43129.htm
1,Tesla Inc reviews,Tesla Reviews | Glassdoor,https://www.glassdoor.com/Reviews/Tesla-Reviews-E43129_P2.htm
2,Tesla Inc reviews,Tesla Reviews | Glassdoor,https://www.glassdoor.com/Reviews/Tesla-Reviews-E43129_P5.htm
3,Tesla Inc reviews,Tesla Sales Reviews | Glassdoor,"https://www.glassdoor.com/Reviews/Tesla-Sales-Reviews-EI_IE43129.0,5_KO6,11.htm"
4,Tesla Inc reviews,Tesla Engineer Reviews | Glassdoor,"https://www.glassdoor.com/Reviews/Tesla-Engineer-Reviews-EI_IE43129.0,5_KO6,14.htm"
5,Tesla Inc reviews,Tesla Technician Reviews | Glassdoor,"https://www.glassdoor.com/Reviews/Tesla-Technician-Reviews-EI_IE43129.0,5_KO6,16.htm"
6,Tesla Inc reviews,Tesla Careers | Glassdoor,"https://www.glassdoor.com/Overview/Working-at-Tesla-EI_IE43129.11,16.htm"
7,Tesla Inc reviews,Tesla Interview Questions | Glassdoor,https://www.glassdoor.com/Interview/Tesla-Interview-Questions-E43129.htm
8,Tesla Inc reviews,Tesla Logistics Jobs | Glassdoor,"https://www.glassdoor.com/Jobs/Tesla-logistics-Jobs-EI_IE43129.0,5_KO6,15.htm"
9,Tesla Inc reviews,Tesla Employee Benefits and Perks | Glassdoor,"https://www.glassdoor.com/Benefits/Tesla-US-Benefits-EI_IE43129.0,5_IL.6,8_IN1.htm"
0,Amazon.com Inc. reviews,"Amazon.com, Inc. Reviews | Glassdoor","https://www.glassdoor.com/Reviews/amazon-com-inc-reviews-SRCH_KE0,14.htm"
1,Amazon.com Inc. reviews,"Amazon.com, Inc. Reviews in Jacksonville, FL | Glassdoor","https://www.glassdoor.com/Reviews/jacksonville-amazon-com-inc-reviews-SRCH_IL.0,12_IM416_KE13,27.htm"
2,Amazon.com Inc. reviews,Amazon Reviews | Glassdoor,https://www.glassdoor.com/Reviews/Amazon-Reviews-E6036.htm
3,Amazon.com Inc. reviews,"Amazon.com, Inc. Reviews in Las Vegas, NV | Glassdoor","https://www.glassdoor.com/Reviews/las-vegas-amazon-com-inc-reviews-SRCH_IL.0,9_IM477_KE10,24.htm"
4,Amazon.com Inc. reviews,"Amazon.com, Inc. Reviews in Philadelphia, PA | Glassdoor","https://www.glassdoor.com/Reviews/philadelphia-amazon-com-inc-reviews-SRCH_IL.0,12_IM676_KE13,27.htm"
5,Amazon.com Inc. reviews,Amazon Reviews | Glassdoor,"https://www.glassdoor.com/Reviews/amazon-reviews-SRCH_KE0,6.htm"
6,Amazon.com Inc. reviews,Working at Amazon | Glassdoor,"https://www.glassdoor.com/Overview/Working-at-Amazon-EI_IE6036.11,17.htm"
7,Amazon.com Inc. reviews,Amazon - Whole Foods Shopper | Glassdoor,https://www.glassdoor.com/Reviews/Employee-Review-Amazon-RVW22255052.htm
8,Amazon.com Inc. reviews,Amazon Delivery Driver Reviews | Glassdoor,"https://www.glassdoor.com/Reviews/Amazon-Delivery-Driver-Reviews-EI_IE6036.0,6_KO7,22.htm"
9,Amazon.com Inc. reviews,Amazing.com Reviews | Glassdoor,https://www.glassdoor.com/Reviews/Amazing-com-Reviews-E957198.htm
0,Spotify Technology SA reviews,Spotify - Where Music meets Technology | Glassdoor,https://www.glassdoor.com/Reviews/Employee-Review-Spotify-RVW13648962.htm
1,Spotify Technology SA reviews,Spotify Reviews | Glassdoor,https://www.glassdoor.com/Reviews/Spotify-Reviews-E408251_P3.htm
2,Spotify Technology SA reviews,Spotify Reviews | Glassdoor,https://www.glassdoor.com/Reviews/Spotify-Reviews-E408251.htm
3,Spotify Technology SA reviews,Spotify - Fantastic company culture and technology | Glassdoor,https://www.glassdoor.com/Reviews/Employee-Review-Spotify-RVW9269765.htm
4,Spotify Technology SA reviews,Spotify Reviews | Glassdoor,https://www.glassdoor.com/Reviews/Spotify-Reviews-E408251_P2.htm
5,Spotify Technology SA reviews,"Spotify Reviews in New York City, NY | Glassdoor","https://www.glassdoor.com/Reviews/Spotify-New-York-City-Reviews-EI_IE408251.0,7_IL.8,21_IM615.htm"
6,Spotify Technology SA reviews,Working at Spotify | Glassdoor,https://www.glassdoor.com/spotify
7,Spotify Technology SA reviews,"Spotify Salaries in Boston, MA | Glassdoor","https://www.glassdoor.com/Salary/Spotify-Boston-Salaries-EI_IE408251.0,7_IL.8,14_IM109.htm"
8,Spotify Technology SA reviews,"Spotify Salaries in New York City, NY | Glassdoor","https://www.glassdoor.com/Salary/Spotify-New-York-City-Salaries-EI_IE408251.0,7_IL.8,21_IM615.htm"
9,Spotify Technology SA reviews,Spotify Jobs | Glassdoor,https://www.glassdoor.com/Jobs/Spotify-Jobs-E408251.htm
